Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
12/21/2012,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CO,80249,,N/A,Web,12/27/2012,Closed with explanation,Yes,No,216651
9/1/2012,Mortgage,Other mortgage,Credit decision / Underwriting,,,,"Universal American Mortgage Company, LLC",CA,93726,,N/A,Web,10/1/2012,Closed with explanation,Yes,No,145674
8/25/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"XXXX, my bank manager at Wells Fargo, XXXX XXXX, XXXX, VA XXXX ( XXXX ) informed us ( myself, my daughter, and son-in-law ) when we started our small business ( XXXX ) that if we invested our own money to show good faith that we would qualify for a low interest business loan. We invested at least XXXX into our business and when we applied for the business loan, XXXX XXXX, Division Lending Manager, Wells Fargo Business Direct continues to deny us due to:1. A Collection problem on my credit report which Wells Fargo resolved in XXXX 2014 but refuses to send me a copy of the resolution ( just reported tonight XXXX XXXX ) to send to the XXXX credit report services and2. states my son in law and I have invested too much money in my business to receive a Wells Fargo small business loan. ( too much debt according to our income ). 
3. XXXX XXXX and XXXX, the branch manager keeps asking for more and more information which we have supplied but can not fix due to : XXXXA. Wells Fargo will not send me the Resolution Letter in my favor to send to the XXXX credit reporting agenciesXXXXB. Lied to us about receiving a small business loan after we invested so much of our own money that we can not get the small business loan they promised nor get .... 
XXXX A small business loan from any other lender due to NOT sending me the Resolution Letter to clear my credit report AND encouraging us to delete my line of credit with Wells Fargo to where I have too much debt to quality for their promised small business loan nor get a small business loan from any other lender.",Company chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",VA,229XX,,Consent provided,Web,8/31/2015,Closed with explanation,Yes,Yes,1535903
1/14/2016,Credit card,,Billing disputes,,,Company chooses not to provide a public response,"CITIBANK, N.A.",CA,91711,,N/A,Referral,1/19/2016,Closed with monetary relief,Yes,No,1739716
2/25/2016,Consumer Loan,Personal line of credit,Problems when you are unable to pay,,,,CNG FINANCIAL CORPORATION,AZ,86442,,Consent not provided,Web,2/29/2016,Closed with explanation,Yes,Yes,1804084
4/16/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,"My Ex ( XXXX XXXX XXXX, Date of Birth XXXX/XXXX/XXXX ) seems to have had XXXX credit card ending with XXXX issued under my name, and not made payments since XXXX XXXX, thus going to collection agenciesI contacted XXXX fraud investigationThey are investigating it along with local investigators in XXXX, IL police departmentPlease make sure My crdedit score is readjustedThe lady investigating this credit card fraud from XXXX XXXX XXXX who can be reached at XXXX XXXX XXXX would appreciate if this credit card fraud is reported to other XXXX credit bureausMy name XXXX XXXX XXXX of birth XXXX/XXXX/XXXX and can be reached at XXXX",,"EQUIFAX, INC.",IL,618XX,,Consent provided,Web,5/6/2015,Closed with non-monetary relief,Yes,No,1333782
2/25/2014,Payday loan,,Applied for loan/did not receive money,,,,"Enova International, Inc.",CA,92101,,N/A,Web,2/27/2014,Closed with explanation,Yes,Yes,731816
8/20/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,GA,30673,,N/A,Web,8/20/2014,Closed with explanation,Yes,Yes,992666
12/11/2016,Consumer Loan,Vehicle loan,Shopping for a loan or lease,,"Hello, my name is XXXX XXXX, and also am writing on behalf of my grandmother, XXXX XXXX. Thank you for your time and recent assistance. I am writing for purposes of a follow up to Ford Financing/Credit, & to provide additional information, that which has evolved or occurred since the time of filing of recent complaint. 

After being rejected and originally denied through XXXX Ford & Ford Financing, naturally we were very discouraged over the issue and inability to move forward. At that point, I filed the first complaint with the CFPB. I later called the President of XXXX XXXX Ford, XXXX XXXX, and Sales Manager, XXXX XXXX to ask for further assistance with purchasing the truck. Mainly if they may be able to get an approval, good interest rate, longer term, and positive results on a XXXX application. They both were very interested and willing to try. XXXX XXXX XXXX, who I have had number of conversations with, is a person of strong integrity and has been very helpful. I have very much enjoyed meeting him. I am asking the investigation team or individuals reviewing this at Ford to make sure they speak with him directly, question him over the issue and his discussion with Financing. 

Unfortunately, there was further discrimination and an actual afront, or blocking of business on the second application. XXXX XXXX was disturbed as to the answers and responses they gave him. The application was denied for erroneous reasons, and we are still unable to purchase the truck at this point. If this discrimination continues, I am considering reporting the Financing Dept. to the US Dept. of Justice. The application was referred to a manager or supervisor, who came back and denied it. She did not want or would not allow my grandmother to purchase the truck, citing specific examples, "" because I will be the one driving it and mainly responsible for paying for it. '' This is an assumption. This also alludes to discrimination based on my grandmother 's age. It also is illegal for them to not allow her to buy it - and for anyone, especially family member, use it for any reason, as long as such purposes are legal and good. The stipulations of Ford Credit and the Federal laws regarding and surrounding purchasing of vehicles on credit, do not bar or prohibit a person purchasing a vehicle of which another family member may drive, use or participate in ownership. 

Therefore, their reasons are false, not ethical, and not based and grounded on legal reasons. They are essentially saying, no, she can not buy the vehicle because we simply do not want her to have it, and for you ( myself ) to drive it. This is the United States of America, she can legally buy any item or product she wants to or is able to, via credit or cash, if she pays for it - regardless of age or person. Period. That is US law. They clearly do not understand consumer law, customer service dynamics, how to keep good, loyal customers, or how to simply do and facilitate desirable business. They have caused us immense agrivation, time, energy and frustration. The entire financing dept. needs further classes, education and updating in these matters, so that they also reflect the highest virtues, aspirations and mission of Ford Motor Company. 

I would like to lastly say, this has become very personal in recent weeks, and it needs to stop. What they have done is wrong, unethical, not fair to the customer, has pushed away good business and people, & has caused us much personal embarassment with both dealerships. XXXX was very surprised at their responses and reasoning, & was powerless to persuade them. I encourage you to question him in a detail as to their responses and attitude. I also feel there may be some type of deeper issue at the financing dept., jealousy, disdain or other other innapropriate sentiment or perspective. Thank you!",,FORD MOTOR CREDIT CO.,VA,245XX,"Older American, Servicemember",Consent provided,Web,12/12/2016,Closed with explanation,Yes,No,2244594
12/15/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,HSBC NORTH AMERICA HOLDINGS INC.,NJ,7960,,N/A,Referral,12/21/2015,Closed with explanation,Yes,No,1697456
